enspid	protlen
ENSP00000019317	655
ENSP00000020673	1024
ENSP00000020926	426
ENSP00000020945	268
ENSP00000022615	283
ENSP00000023064	487
ENSP00000023897	456
ENSP00000023939	306
ENSP00000024061	798
ENSP00000025008	1594
ENSP00000025301	1901
ENSP00000025399	363
ENSP00000025469	375
ENSP00000026218	760
ENSP00000026464	161
ENSP00000027335	832
ENSP00000028008	71
ENSP00000029410	327
ENSP00000031135	138
ENSP00000033079	915
ENSP00000034275	499
ENSP00000035307	772
ENSP00000035383	1537
ENSP00000037243	117
ENSP00000037502	504
ENSP00000037869	138
ENSP00000038176	917
ENSP00000039007	354
ENSP00000039989	1141
ENSP00000040584	242
ENSP00000040663	369
ENSP00000040738	3051
ENSP00000040877	1621
ENSP00000042381	1219
ENSP00000042931	509
ENSP00000043402	473
ENSP00000043410	158
ENSP00000044462	261
ENSP00000045083	946
ENSP00000045347	458
ENSP00000046087	351
ENSP00000046640	367
ENSP00000046794	533
ENSP00000046894	441
ENSP00000050961	3567
ENSP00000052569	454
ENSP00000052754	359
ENSP00000053243	184
ENSP00000053468	201
ENSP00000053469	201
ENSP00000053867	593
ENSP00000054216	245
ENSP00000054650	239
ENSP00000054666	100
ENSP00000054668	139
ENSP00000054950	331
ENSP00000055077	354
ENSP00000055163	2236
ENSP00000055335	799
ENSP00000055682	1516
ENSP00000056217	1597
ENSP00000056233	694
ENSP00000057513	325
ENSP00000058691	205
ENSP00000060969	207
ENSP00000061240	1013
ENSP00000062104	81
ENSP00000064571	201
ENSP00000064724	207
ENSP00000064778	244
ENSP00000064780	430
ENSP00000066465	609
ENSP00000066544	824
ENSP00000070846	881
ENSP00000071281	323
ENSP00000072516	570
ENSP00000072644	306
ENSP00000072869	626
ENSP00000074304	977
ENSP00000075120	496
ENSP00000075322	863
ENSP00000075430	867
ENSP00000075503	422
ENSP00000078429	359
ENSP00000078445	461
ENSP00000078527	493
ENSP00000078652	1314
ENSP00000080059	991
ENSP00000081029	323
ENSP00000082259	872
ENSP00000083182	585
ENSP00000084795	189.333333333333
ENSP00000084798	328
ENSP00000085068	221
ENSP00000085079	550
ENSP00000085219	847
ENSP00000086933	205
ENSP00000155093	801
ENSP00000155674	393
ENSP00000155840	676
ENSP00000155858	1165
ENSP00000155926	343
ENSP00000156084	571
ENSP00000156109	476
ENSP00000156471	1485
ENSP00000156476	277
ENSP00000156499	267
ENSP00000156626	600
ENSP00000156825	291
ENSP00000157600	365
ENSP00000157775	355
ENSP00000157812	418
ENSP00000158009	324
ENSP00000158149	340
ENSP00000158166	520
ENSP00000158526	259
ENSP00000158762	740
ENSP00000158771	239
ENSP00000159060	568
ENSP00000159087	1232
ENSP00000159111	1096
ENSP00000159647	643
ENSP00000160262	547
ENSP00000160298	1249
ENSP00000160373	1663
ENSP00000160382	426
ENSP00000160713	152
ENSP00000160740	1608
ENSP00000160827	665
ENSP00000161006	317
ENSP00000161559	526
ENSP00000161863	1430
ENSP00000162023	368
ENSP00000162044	479
ENSP00000162330	870
ENSP00000162391	574
ENSP00000162749	455
ENSP00000163416	731
ENSP00000163678	205
ENSP00000164024	3312
ENSP00000164133	497
ENSP00000164139	842
ENSP00000164227	454
ENSP00000164247	367
ENSP00000164305	554
ENSP00000164640	769
ENSP00000165524	87
ENSP00000165698	201
ENSP00000166133	129
ENSP00000166139	263
ENSP00000166244	1005
ENSP00000166345	432
ENSP00000166534	535
ENSP00000167106	365
ENSP00000167218	221
ENSP00000167462	1015
ENSP00000167586	472
ENSP00000167588	424
ENSP00000167825	982
ENSP00000168148	211
ENSP00000168216	261
ENSP00000168712	206
ENSP00000168869	84
ENSP00000168977	230
ENSP00000169293	380
ENSP00000169298	406
ENSP00000169551	248
ENSP00000169565	296
ENSP00000170150	458
ENSP00000170168	1221
ENSP00000170447	416
ENSP00000170564	931
ENSP00000170630	825
ENSP00000171000	881
ENSP00000171111	624
ENSP00000171214	311
ENSP00000171757	339
ENSP00000171887	1735
ENSP00000172229	427
ENSP00000172853	6669
ENSP00000173229	604
ENSP00000173385	435
ENSP00000173527	298
ENSP00000173898	1431
ENSP00000174618	582
ENSP00000174621	837
ENSP00000174653	418
ENSP00000174661	547
ENSP00000175091	233
ENSP00000175238	754
ENSP00000175506	561
ENSP00000175756	460
ENSP00000176183	419
ENSP00000176195	121
ENSP00000176643	485
ENSP00000176763	968
ENSP00000177648	1244
ENSP00000177694	535
ENSP00000177742	225
ENSP00000178638	354
ENSP00000178640	448
ENSP00000179259	270
ENSP00000179765	1873
ENSP00000179882	806
ENSP00000180166	211
ENSP00000180173	660
ENSP00000181383	423
ENSP00000181796	306
ENSP00000181839	1512
ENSP00000182096	1022
ENSP00000182290	320
ENSP00000182377	515
ENSP00000182527	370
ENSP00000183605	261
ENSP00000183936	729
ENSP00000184183	212
ENSP00000184266	129
ENSP00000184956	1181
ENSP00000185150	483
ENSP00000185206	410
ENSP00000185907	160
ENSP00000185942	709
ENSP00000186436	1883
ENSP00000187397	812
ENSP00000187608	292
ENSP00000187762	299
ENSP00000187830	44
ENSP00000187879	451
ENSP00000187910	424
ENSP00000188312	396
ENSP00000188376	361
ENSP00000188403	482
ENSP00000188790	760
ENSP00000189444	900
ENSP00000189978	875
ENSP00000190165	472
ENSP00000190611	934
ENSP00000190983	250
ENSP00000191018	480
ENSP00000192314	398
ENSP00000192788	1440
ENSP00000193029	95
ENSP00000193322	334
ENSP00000193391	1241
ENSP00000193403	892
ENSP00000193422	271
ENSP00000193532	1256
ENSP00000194118	515
ENSP00000194130	595
ENSP00000194152	795
ENSP00000194155	798
ENSP00000194214	144
ENSP00000194530	418
ENSP00000194672	147
ENSP00000194871	1233
ENSP00000194900	849
ENSP00000195173	1092
ENSP00000195455	93
ENSP00000195649	902
ENSP00000195654	2465
ENSP00000196061	727
ENSP00000196169	651
ENSP00000196371	520
ENSP00000196482	553
ENSP00000196489	594
ENSP00000196548	575
ENSP00000196551	204
ENSP00000197268	622
ENSP00000198536	303
ENSP00000198587	717
ENSP00000198765	537
ENSP00000198767	651
ENSP00000198801	334
ENSP00000198939	927
ENSP00000199280	271
ENSP00000199320	313
ENSP00000199389	630
ENSP00000199447	588
ENSP00000199448	224
ENSP00000199706	256
ENSP00000199708	142
ENSP00000199764	344
ENSP00000199814	420
ENSP00000199936	387
ENSP00000199940	559
ENSP00000200135	779
ENSP00000200181	1822
ENSP00000200307	99
ENSP00000200453	674
ENSP00000200457	476
ENSP00000200557	769
ENSP00000200639	410
ENSP00000200652	551
ENSP00000200676	493
ENSP00000200691	68
ENSP00000201015	175
ENSP00000201023	385
ENSP00000201031	450
ENSP00000201586	365
ENSP00000201647	723
ENSP00000201886	710
ENSP00000201943	458
ENSP00000201961	175
ENSP00000201963	845
ENSP00000201979	298
ENSP00000202017	133
ENSP00000202028	779
ENSP00000202556	1090
ENSP00000202578	1701
ENSP00000202584	372
ENSP00000202625	706
ENSP00000202677	1873
ENSP00000202773	288
ENSP00000202788	473
ENSP00000202816	851
ENSP00000202831	584
ENSP00000202834	120
ENSP00000202917	400
ENSP00000202967	314
ENSP00000203001	497
ENSP00000203407	480
ENSP00000203556	970
ENSP00000203616	311
ENSP00000203629	525
ENSP00000203630	248
ENSP00000203664	234
ENSP00000203786	946
ENSP00000204005	1586
ENSP00000204307	95
ENSP00000204517	338
ENSP00000204549	485
ENSP00000204566	308
ENSP00000204604	955
ENSP00000204615	353
ENSP00000204637	235
ENSP00000204679	305
ENSP00000204726	1498
ENSP00000204801	360
ENSP00000204961	346
ENSP00000205055	581
ENSP00000205061	1203
ENSP00000205135	1253.66666666667
ENSP00000205143	618
ENSP00000205194	206
ENSP00000205214	1098
ENSP00000205386	1761
ENSP00000205402	509
ENSP00000205448	150
ENSP00000205557	1503
ENSP00000205558	441
ENSP00000205636	183
ENSP00000205890	3530
ENSP00000205948	345
ENSP00000206020	227
ENSP00000206249	595
ENSP00000206262	210
ENSP00000206380	257
ENSP00000206423	950
ENSP00000206446	136
ENSP00000206451	249
ENSP00000206466	151
ENSP00000206474	363
ENSP00000206513	281
ENSP00000206514	303
ENSP00000206542	335
ENSP00000206544	538
ENSP00000206595	706
ENSP00000206660	1286
ENSP00000206765	817
ENSP00000207062	158
ENSP00000207157	496
ENSP00000207437	208
ENSP00000207457	430
ENSP00000207549	1090
ENSP00000207636	199
ENSP00000207726	976
ENSP00000207870	536
ENSP00000209540	355
ENSP00000209665	386
ENSP00000209668	375
ENSP00000209718	422
ENSP00000209728	560
ENSP00000209873	546
ENSP00000209875	191
ENSP00000209884	609
ENSP00000209929	471
ENSP00000210060	369
ENSP00000210187	256
ENSP00000210227	181.666666666667
ENSP00000210313	504
ENSP00000210444	359
ENSP00000210633	843
ENSP00000211076	242
ENSP00000211122	222
ENSP00000211238	278
ENSP00000211287	365
ENSP00000211314	99
ENSP00000211372	152
ENSP00000211377	356
ENSP00000211379	1126
ENSP00000211402	1264
ENSP00000211413	306
ENSP00000211921	28
ENSP00000211936	751
ENSP00000211998	1134
ENSP00000212015	747
ENSP00000212355	851
ENSP00000212369	365
ENSP00000214869	227
ENSP00000215057	734
ENSP00000215061	264
ENSP00000215069	517
ENSP00000215071	350
ENSP00000215095	288
ENSP00000215115	217
ENSP00000215368	213
ENSP00000215375	168
ENSP00000215376	447
ENSP00000215473	1340
ENSP00000215479	192
ENSP00000215530	170
ENSP00000215531	130
ENSP00000215539	605
ENSP00000215555	246
ENSP00000215565	137
ENSP00000215567	308
ENSP00000215570	95
ENSP00000215574	236
ENSP00000215582	679
ENSP00000215587	210
ENSP00000215591	1230
ENSP00000215631	160
ENSP00000215637	382
ENSP00000215659	367
ENSP00000215727	499
ENSP00000215730	258
ENSP00000215739	840
ENSP00000215742	309
ENSP00000215743	488
ENSP00000215754	115
ENSP00000215770	134
ENSP00000215773	118
ENSP00000215780	244
ENSP00000215781	252
ENSP00000215790	508
ENSP00000215793	793
ENSP00000215794	372
ENSP00000215798	342.333333333333
ENSP00000215812	400
ENSP00000215829	126
ENSP00000215832	360
ENSP00000215838	427
ENSP00000215855	211
ENSP00000215862	970
ENSP00000215882	311
ENSP00000215885	509
ENSP00000215886	132
ENSP00000215904	296
ENSP00000215906	369
ENSP00000215909	135
ENSP00000215912	263
ENSP00000215917	339
ENSP00000215919	537
ENSP00000215939	252
ENSP00000215941	300
ENSP00000215956	128
ENSP00000215957	863
ENSP00000215980	180
ENSP00000216014	214
ENSP00000216024	340
ENSP00000216027	235
ENSP00000216029	126
ENSP00000216034	142
ENSP00000216036	348
ENSP00000216037	261
ENSP00000216038	505
ENSP00000216039	202
ENSP00000216044	669
ENSP00000216061	966
ENSP00000216064	717
ENSP00000216068	105
ENSP00000216071	290
ENSP00000216075	285
ENSP00000216080	682
ENSP00000216083	394
ENSP00000216085	386
ENSP00000216099	386
ENSP00000216101	203
ENSP00000216106	601
ENSP00000216115	160
ENSP00000216117	288
ENSP00000216121	284
ENSP00000216122	734
ENSP00000216123	182
ENSP00000216124	509
ENSP00000216127	266
ENSP00000216129	644
ENSP00000216133	251
ENSP00000216139	421
ENSP00000216144	215
ENSP00000216155	118
ENSP00000216160	504
ENSP00000216177	429
ENSP00000216178	277
ENSP00000216180	481
ENSP00000216181	1960
ENSP00000216185	166
ENSP00000216187	684
ENSP00000216190	548
ENSP00000216194	484
ENSP00000216200	110
ENSP00000216211	287
ENSP00000216214	357
ENSP00000216218	369
ENSP00000216223	551
ENSP00000216225	108
ENSP00000216237	705
ENSP00000216241	762
ENSP00000216252	110
ENSP00000216254	780
ENSP00000216259	262
ENSP00000216264	537
ENSP00000216267	1058
ENSP00000216268	1171
ENSP00000216271	669
ENSP00000216274	518
ENSP00000216277	745
ENSP00000216279	357
ENSP00000216281	732
ENSP00000216286	1375
ENSP00000216288	713
ENSP00000216294	368
ENSP00000216296	196
ENSP00000216297	1047
ENSP00000216327	236.666666666667
ENSP00000216330	224
ENSP00000216336	255
ENSP00000216338	246
ENSP00000216341	247
ENSP00000216350	576
ENSP00000216361	550
ENSP00000216366	159
ENSP00000216367	527
ENSP00000216373	1332
ENSP00000216378	276
ENSP00000216392	847
ENSP00000216410	184
ENSP00000216416	144
ENSP00000216420	332
ENSP00000216442	247
ENSP00000216445	296
ENSP00000216446	353
ENSP00000216450	200
ENSP00000216452	188
ENSP00000216453	154
ENSP00000216455	255
ENSP00000216456	44
ENSP00000216465	216
ENSP00000216468	325
ENSP00000216471	674
ENSP00000216479	338
ENSP00000216481	76
ENSP00000216484	562
ENSP00000216487	985
ENSP00000216489	389
ENSP00000216492	457
ENSP00000216500	339
ENSP00000216513	781
ENSP00000216517	435
ENSP00000216540	349
ENSP00000216554	431
ENSP00000216568	298
ENSP00000216602	252
ENSP00000216605	991
ENSP00000216629	353
ENSP00000216639	396
ENSP00000216658	808
ENSP00000216714	318
ENSP00000216727	306
ENSP00000216733	561
ENSP00000216756	212
ENSP00000216774	504
ENSP00000216775	557
ENSP00000216780	640
ENSP00000216797	317
ENSP00000216799	208
ENSP00000216802	239
ENSP00000216807	323
ENSP00000216832	717
ENSP00000216840	567
ENSP00000216862	514
ENSP00000216877	793
ENSP00000216879	370
ENSP00000216911	403
ENSP00000216923	681
ENSP00000216927	276
ENSP00000216951	474
ENSP00000216962	843
ENSP00000216968	238
ENSP00000217026	700
ENSP00000217043	253
ENSP00000217073	614
ENSP00000217074	330
ENSP00000217075	171
ENSP00000217086	1053
ENSP00000217109	431
ENSP00000217121	229
ENSP00000217130	892
ENSP00000217131	303
ENSP00000217133	451
ENSP00000217159	722
ENSP00000217162	483
ENSP00000217169	298
ENSP00000217173	541
ENSP00000217182	463
ENSP00000217185	451
ENSP00000217188	488
ENSP00000217195	199
ENSP00000217224	128.333333333333
ENSP00000217233	358
ENSP00000217244	391
ENSP00000217246	425
ENSP00000217254	469
ENSP00000217260	234
ENSP00000217270	384
ENSP00000217289	677
ENSP00000217299	579
ENSP00000217305	254
ENSP00000217313	118
ENSP00000217315	625
ENSP00000217320	215
ENSP00000217333	871
ENSP00000217372	587
ENSP00000217381	505
ENSP00000217386	125
ENSP00000217398	144
ENSP00000217402	224
ENSP00000217407	481
ENSP00000217420	525
ENSP00000217423	141
ENSP00000217425	102
ENSP00000217426	432
ENSP00000217428	89
ENSP00000217429	615
ENSP00000217446	435
ENSP00000217455	319
ENSP00000217456	416
ENSP00000217515	289
ENSP00000217652	171
ENSP00000217740	232
ENSP00000217800	740
ENSP00000217885	515
ENSP00000217893	264
ENSP00000217901	393
ENSP00000217905	336
ENSP00000217909	341
ENSP00000217939	2828
ENSP00000217957	387
ENSP00000217958	226
ENSP00000217961	583
ENSP00000217964	577
ENSP00000217971	195
ENSP00000217999	184
ENSP00000218004	197
ENSP00000218006	1108
ENSP00000218008	357
ENSP00000218032	1041
ENSP00000218054	456
ENSP00000218056	485
ENSP00000218068	102
ENSP00000218075	452
ENSP00000218089	1268
ENSP00000218099	461
ENSP00000218104	745
ENSP00000218147	1711
ENSP00000218172	772
ENSP00000218176	647
ENSP00000218197	325
ENSP00000218200	611
ENSP00000218224	265
ENSP00000218230	260
ENSP00000218246	278
ENSP00000218249	278
ENSP00000218316	617
ENSP00000218328	1672
ENSP00000218340	350
ENSP00000218343	823
ENSP00000218348	963
ENSP00000218364	755
ENSP00000218388	207
ENSP00000218432	111
ENSP00000218436	1313
ENSP00000218439	606
ENSP00000218507	742
ENSP00000218516	429
ENSP00000218548	1045
ENSP00000218652	336
ENSP00000218721	412
ENSP00000218758	325
ENSP00000218789	705
ENSP00000218867	291
ENSP00000218894	779
ENSP00000218981	242
ENSP00000219022	510
ENSP00000219054	577
ENSP00000219066	312
ENSP00000219069	683
ENSP00000219070	660
ENSP00000219084	1995
ENSP00000219090	132
ENSP00000219091	554
ENSP00000219097	252
ENSP00000219139	422
ENSP00000219150	461
ENSP00000219151	228
ENSP00000219162	62
ENSP00000219168	122
ENSP00000219169	127
ENSP00000219172	561
ENSP00000219197	193
ENSP00000219204	163
ENSP00000219207	182
ENSP00000219235	93
ENSP00000219240	395
ENSP00000219244	94
ENSP00000219251	541
ENSP00000219252	275
ENSP00000219255	346
ENSP00000219271	669
ENSP00000219281	265
ENSP00000219299	377
ENSP00000219301	395
ENSP00000219302	169
ENSP00000219313	324
ENSP00000219315	473
ENSP00000219320	462
ENSP00000219322	281
ENSP00000219334	655
ENSP00000219343	515
ENSP00000219345	412
ENSP00000219368	372
ENSP00000219400	79
ENSP00000219406	525
ENSP00000219409	225
ENSP00000219431	298
ENSP00000219439	330
ENSP00000219454	220
ENSP00000219473	798
ENSP00000219476	1807
ENSP00000219478	480
ENSP00000219479	187
ENSP00000219481	292
ENSP00000219535	218
ENSP00000219542	187
ENSP00000219548	303
ENSP00000219551	438
ENSP00000219593	745
ENSP00000219596	781
ENSP00000219599	314
ENSP00000219611	1086
ENSP00000219638	533
ENSP00000219660	261
ENSP00000219689	1352
ENSP00000219700	316
ENSP00000219746	576
ENSP00000219782	493
ENSP00000219789	213
ENSP00000219794	412
ENSP00000219797	458
ENSP00000219821	760
ENSP00000219833	628
ENSP00000219837	458
ENSP00000219865	752
ENSP00000219869	255
ENSP00000219905	3065
ENSP00000219919	295
ENSP00000220003	450
ENSP00000220058	389
ENSP00000220062	266
ENSP00000220166	335
ENSP00000220244	1361
ENSP00000220325	541
ENSP00000220419	638
ENSP00000220420	720
ENSP00000220429	395
ENSP00000220446	129
ENSP00000220478	468
ENSP00000220496	304
ENSP00000220507	236
ENSP00000220509	973
ENSP00000220514	229
ENSP00000220531	172
ENSP00000220562	919
ENSP00000220584	417
ENSP00000220592	859
ENSP00000220597	432
ENSP00000220616	2768
ENSP00000220659	419
ENSP00000220669	268
ENSP00000220676	2156
ENSP00000220751	540
ENSP00000220763	472
ENSP00000220764	335
ENSP00000220772	314
ENSP00000220809	562
ENSP00000220812	224
ENSP00000220822	358
ENSP00000220847	404
ENSP00000220849	445
ENSP00000220853	297
ENSP00000220856	280
ENSP00000220876	179
ENSP00000220888	1281
ENSP00000220913	131
ENSP00000220931	193
ENSP00000220940	158
ENSP00000220959	2798
ENSP00000220966	286
ENSP00000221086	549
ENSP00000221114	190
ENSP00000221130	522
ENSP00000221132	468
ENSP00000221138	309
ENSP00000221166	916
ENSP00000221167	348
ENSP00000221200	389
ENSP00000221204	312
ENSP00000221209	229
ENSP00000221214	1391
ENSP00000221222	325
ENSP00000221232	753
ENSP00000221233	235
ENSP00000221249	1327
ENSP00000221264	290
ENSP00000221265	531
ENSP00000221266	462
ENSP00000221283	593
ENSP00000221303	322
ENSP00000221307	520
ENSP00000221315	652
ENSP00000221327	692
ENSP00000221347	5405
ENSP00000221355	685
ENSP00000221363	1010
ENSP00000221399	520
ENSP00000221403	334
ENSP00000221409	832
ENSP00000221413	463
ENSP00000221418	328
ENSP00000221419	589
ENSP00000221421	141
ENSP00000221431	518
ENSP00000221444	456
ENSP00000221448	437
ENSP00000221452	579
ENSP00000221455	674
ENSP00000221459	207
ENSP00000221462	691
ENSP00000221466	365
ENSP00000221476	381
ENSP00000221478	402
ENSP00000221480	241
ENSP00000221481	127
ENSP00000221482	1740
ENSP00000221485	560
ENSP00000221486	299
ENSP00000221494	464
ENSP00000221496	560
ENSP00000221498	242
ENSP00000221504	630
ENSP00000221515	108
ENSP00000221538	717
ENSP00000221543	648
ENSP00000221554	396
ENSP00000221557	374
ENSP00000221561	264
ENSP00000221566	313
ENSP00000221567	352
ENSP00000221573	334
ENSP00000221576	99
ENSP00000221665	496
ENSP00000221671	657
ENSP00000221700	520
ENSP00000221722	527
ENSP00000221730	360
ENSP00000221735	510
ENSP00000221740	242
ENSP00000221742	564
ENSP00000221770	220
ENSP00000221784	125
ENSP00000221797	139
ENSP00000221801	321
ENSP00000221803	601
ENSP00000221804	142
ENSP00000221818	155
ENSP00000221847	229
ENSP00000221852	255
ENSP00000221855	244
ENSP00000221856	496
ENSP00000221859	125
ENSP00000221891	651
ENSP00000221899	867
ENSP00000221905	246
ENSP00000221922	531
ENSP00000221930	390
ENSP00000221943	257
ENSP00000221954	244
ENSP00000221957	434
ENSP00000221972	226
ENSP00000221973	215
ENSP00000221975	145
ENSP00000221978	165
ENSP00000221980	924
ENSP00000221992	702
ENSP00000221996	299
ENSP00000221999	212
ENSP00000222002	285
ENSP00000222005	378
ENSP00000222008	185
ENSP00000222032	112
ENSP00000222033	429
ENSP00000222107	551
ENSP00000222115	578
ENSP00000222120	219
ENSP00000222122	325
ENSP00000222125	189
ENSP00000222139	508
ENSP00000222145	963
ENSP00000222157	209
ENSP00000222190	106
ENSP00000222212	275
ENSP00000222214	438
ENSP00000222219	360
ENSP00000222224	264
ENSP00000222247	176
ENSP00000222248	643
ENSP00000222249	560
ENSP00000222250	407
ENSP00000222254	728
ENSP00000222256	220
ENSP00000222266	101
ENSP00000222270	2715
ENSP00000222271	757
ENSP00000222275	258
ENSP00000222284	224
ENSP00000222286	408
ENSP00000222301	120
ENSP00000222304	84
ENSP00000222305	346
ENSP00000222307	176
ENSP00000222308	413
ENSP00000222329	548
ENSP00000222330	483
ENSP00000222339	986
ENSP00000222345	1781
ENSP00000222374	388
ENSP00000222381	355
ENSP00000222382	504
ENSP00000222388	634
ENSP00000222390	728
ENSP00000222399	1786
ENSP00000222402	147
ENSP00000222443	196
ENSP00000222462	365
ENSP00000222481	419
ENSP00000222482	421
ENSP00000222511	387
ENSP00000222543	235
ENSP00000222547	118
ENSP00000222553	491
ENSP00000222567	338
ENSP00000222572	354
ENSP00000222573	769
ENSP00000222574	514
ENSP00000222584	784
ENSP00000222597	490
ENSP00000222598	289
ENSP00000222644	540
ENSP00000222673	1023
ENSP00000222674	196
ENSP00000222690	114
ENSP00000222693	162
ENSP00000222718	376
ENSP00000222725	379
ENSP00000222726	270
ENSP00000222728	233
ENSP00000222747	305
ENSP00000222753	388
ENSP00000222761	201
ENSP00000222792	468
ENSP00000222800	315
ENSP00000222803	211
ENSP00000222812	288
ENSP00000222823	953
ENSP00000222902	119
ENSP00000222968	181
ENSP00000222969	144
ENSP00000222982	502
ENSP00000222990	465
ENSP00000223023	505
ENSP00000223026	481
ENSP00000223028	509
ENSP00000223029	320
ENSP00000223051	801
ENSP00000223054	235
ENSP00000223061	449
ENSP00000223073	759
ENSP00000223084	71
ENSP00000223095	402
ENSP00000223114	341
ENSP00000223122	363
ENSP00000223127	738
ENSP00000223129	121
ENSP00000223136	152
ENSP00000223140	574
ENSP00000223145	547
ENSP00000223167	226
ENSP00000223190	503
ENSP00000223193	707
ENSP00000223208	373
ENSP00000223210	1169
ENSP00000223215	335
ENSP00000223271	163
ENSP00000223273	226
ENSP00000223293	337
ENSP00000223321	234
ENSP00000223324	188
ENSP00000223336	146
ENSP00000223341	888
ENSP00000223357	1158
ENSP00000223361	455
ENSP00000223364	175
ENSP00000223366	466
ENSP00000223368	202
ENSP00000223369	198
ENSP00000223398	1046
ENSP00000223423	562
ENSP00000223428	683
ENSP00000223459	276
ENSP00000223500	219
ENSP00000223528	461
ENSP00000223608	908
ENSP00000223609	324
ENSP00000223641	96
ENSP00000223642	1676
ENSP00000223791	899
ENSP00000223795	234
ENSP00000223836	210
ENSP00000223858	117
ENSP00000223862	185
ENSP00000223864	147
ENSP00000223865	275
ENSP00000223951	346
ENSP00000224073	148
ENSP00000224140	2677
ENSP00000224167	224
ENSP00000224181	202
ENSP00000224237	466
ENSP00000224337	456
ENSP00000224356	497
ENSP00000224600	1247
ENSP00000224605	478
ENSP00000224652	518
ENSP00000224721	3357
ENSP00000224756	834
ENSP00000224764	532
ENSP00000224784	377
ENSP00000224807	325
ENSP00000224862	300
ENSP00000224949	1037
ENSP00000224950	368
ENSP00000225171	198
ENSP00000225174	207
ENSP00000225235	775
ENSP00000225245	92
ENSP00000225275	745
ENSP00000225276	374
ENSP00000225282	644
ENSP00000225296	707
ENSP00000225298	556
ENSP00000225308	351
ENSP00000225328	422
ENSP00000225371	715
ENSP00000225387	215
ENSP00000225388	695
ENSP00000225394	761
ENSP00000225396	443
ENSP00000225402	560
ENSP00000225410	155
ENSP00000225426	205
ENSP00000225428	425
ENSP00000225430	196
ENSP00000225441	405
ENSP00000225474	207
ENSP00000225504	117
ENSP00000225512	355
ENSP00000225519	478
ENSP00000225525	124
ENSP00000225538	399
ENSP00000225550	449
ENSP00000225567	213
ENSP00000225573	261
ENSP00000225576	276
ENSP00000225577	525
ENSP00000225603	185
ENSP00000225609	252
ENSP00000225614	392
ENSP00000225648	224
ENSP00000225655	140
ENSP00000225665	314
ENSP00000225688	281
ENSP00000225696	741
ENSP00000225698	282
ENSP00000225719	1380
ENSP00000225724	250
ENSP00000225726	483
ENSP00000225728	131
ENSP00000225729	364
ENSP00000225737	662
ENSP00000225740	453
ENSP00000225742	473
ENSP00000225760	98
ENSP00000225777	224
ENSP00000225792	603
ENSP00000225805	396
ENSP00000225823	563
ENSP00000225831	99
ENSP00000225840	99
ENSP00000225842	96
ENSP00000225844	98
ENSP00000225873	359
ENSP00000225893	557
ENSP00000225899	448
ENSP00000225916	837
ENSP00000225927	743
ENSP00000225928	149
ENSP00000225929	328
ENSP00000225941	366
ENSP00000225964	1464
ENSP00000225969	148
ENSP00000225972	307
ENSP00000225973	227
ENSP00000225983	1123
ENSP00000225992	95
ENSP00000226004	185
ENSP00000226021	222
ENSP00000226067	295
ENSP00000226091	340
ENSP00000226094	541
ENSP00000226105	186
ENSP00000226193	200
